,Organization,EIN,Tax Year,Contributions and Grants,Program service revenue,Investment Income,Total Revenue,"Compensation of current officers, directors, etc",Payroll Tax,Professional fundraising fees,Total Functional Expenses,Total Assets,Total Liabilities
0,Allegheny Children's Initiative,251728407,2021,286971.0,2291586.0,0.0,2579268,91307.0,113837.0,0.0,2532897,976289,189883
1,Allegheny Children's Initiative,251728407,2020,463814.0,2327284.0,0.0,2794009,93659.0,113444.0,0.0,2633273,1067833,327798
2,Allegheny Children's Initiative,251728407,2019,388464.0,2128148.0,0.0,2542898,88022.0,99419.0,0.0,2543685,1196808,617509
3,Children's Institute Of Pittsburgh The,232935278,2021,3713408.0,23512643.0,1299069.0,36419426,1529174.0,1168076.0,0.0,30014125,194158878,38237054
4,Children's Institute Of Pittsburgh The,232935278,2020,3688572.0,24348989.0,1262847.0,38389576,1366432.0,1315768.0,0.0,33968414,161136560,55057501
5,Children's Institute Of Pittsburgh The,232935278,2019,1264776.0,27657918.0,1305406.0,36253265,1194837.0,1387528.0,0.0,35824727,158687233,40900089
6,Goodwill Of Southwestern Pennsylvania,251098928,2021,16836449.0,47710632.0,28816.0,66107011,1088586.0,1508099.0,3642.0,55859996,31216419,12860879
7,Goodwill Of Southwestern Pennsylvania,251098928,2020,11174653.0,39456409.0,46061.0,51263693,614013.0,1771507.0,2602.0,54106544,27873379,20451949
8,Goodwill Of Southwestern Pennsylvania,251098928,2019,10691141.0,48272244.0,38091.0,59004387,877971.0,1992381.0,7753.0,59587867,21448596,11239576
9,Northern Area Multi-service Center Of Allegheny County,237139992,2021,8037648.0,95240.0,1992.0,8196392,93265.0,360532.0,0.0,7504734,4336112,1849656
10,Northern Area Multi-service Center Of Allegheny County,237139992,2020,8138408.0,95240.0,5183.0,8382469,92017.0,439526.0,0.0,8713889,3973383,2178585
11,Northern Area Multi-service Center Of Allegheny County,237139992,2019,8110964.0,58643.0,8379.0,8556478,133485.0,347209.0,0.0,8584287,3266192,1139974
12,Peoples Oakland Inc.,237407933,2021,816332.0,115.0,72.0,874619,0.0,27120.0,0.0,763562,1028365,229760
13,Peoples Oakland Inc.,237407933,2020,761818.0,3904.0,131.0,848797,0.0,27685.0,0.0,739634,974378,286830
14,Peoples Oakland Inc.,237407933,2019,750350.0,7742.0,100.0,807021,0.0,35638.0,0.0,861231,838694,260309
15,Center For Hearing And Deaf Services Inc.,250974324,2021,918120.0,2108952.0,19128.0,3118230,180923.0,87678.0,0.0,3342327,2793972,261749
16,Center For Hearing And Deaf Services Inc.,250974324,2020,1118368.0,2511676.0,21626.0,3662476,171231.0,85156.0,0.0,3516834,2778511,213510
17,Center For Hearing And Deaf Services Inc.,250974324,2019,613254.0,3180935.0,23762.0,3836164,192981.0,79931.0,0.0,4008532,2664269,246942
18,Pressley Ridge,250965460,2021,16109416.0,55311960.0,12062.0,71658870,1626521.0,2833565.0,0.0,71383858,38238031,11260112
19,Pressley Ridge,250965460,2020,16687949.0,59424746.0,12044.0,76241819,1808270.0,2877451.0,0.0,73609682,36871274,10400049
20,Pressley Ridge,250965460,2019,5223423.0,74007680.0,12256.0,79944623,1208470.0,2862372.0,0.0,73656391,33665244,9819790
21,Invision Customized Services,251701328,2021,0.0,49153629.0,0.0,49156313,0.0,2064985.0,0.0,48573956,21957854,11399212
22,Invision Customized Services,251701328,2020,0.0,51121186.0,0.0,51102575,0.0,1971371.0,0.0,47474209,15130089,5762852
23,Invision Customized Services,251701328,2019,0.0,47571089.0,0.0,47592932,0.0,1917606.0,0.0,47368331,9675516,4043177
24,Alpha House Inc.,251231807,2021,79860.0,881340.0,1516.0,1044230,0.0,39773.0,0.0,823260,1106324,150949
25,Alpha House Inc.,251231807,2020,89849.0,881405.0,3493.0,975472,75600.0,34738.0,0.0,702019,857889,123484
26,Alpha House Inc.,251231807,2019,14315.0,570512.0,227.0,585054,310079.0,26931.0,0.0,548367,492269,31317
27,Ellen O'brien Gaiser Addiction Center Inc.,237208331,2021,702594.0,3249354.0,10703.0,3982791,173291.0,129677.0,0.0,3167090,8720250,962779
28,Ellen O'brien Gaiser Addiction Center Inc.,237208331,2020,349775.0,3345842.0,56194.0,3765826,161535.0,154496.0,0.0,3038404,7460250,526217
29,Ellen O'brien Gaiser Addiction Center Inc.,237208331,2019,281363.0,3189355.0,18414.0,3501993,158943.0,155203.0,0.0,2917178,6397141,189960
30,Wesley Family Services,820653875,2021,1956243.0,55164651.0,103112.0,57226294,544922.0,2415525.0,0.0,55483676,21969339,15202698
31,Wesley Family Services,820653875,2020,1143812.0,57123624.0,69668.0,58345322,651912.0,2513751.0,0.0,57155787,15468739,10444716
32,Wesley Family Services,820653875,2019,3250909.0,39389438.0,30697.0,42682579,649347.0,1725196.0,0.0,38724632,15091512,11257024
33,Allies For Health + Wellbeing,251537128,2021,2980217.0,350157.0,26067.0,6585138,181328.0,193160.0,0.0,6220163,5603564,1664361
34,Allies For Health + Wellbeing,251537128,2020,2639792.0,325001.0,25621.0,6080023,423929.0,206803.0,0.0,5585190,4978519,1640267
35,Allies For Health + Wellbeing,251537128,2019,2325697.0,202916.0,23790.0,4908204,353553.0,161105.0,0.0,4528146,4143608,1312284
36,Three Rivers Youth,251206924,2021,2391282.0,0.0,97.0,2442392,209960.0,111863.0,0.0,2218195,1972184,1814901
37,Three Rivers Youth,251206924,2020,2189570.0,0.0,510.0,2195843,199471.0,108667.0,0.0,2095132,1709550,1776464
38,Three Rivers Youth,251206924,2019,2422344.0,0.0,375.0,2764216,208416.0,146319.0,0.0,2374440,1642277,1809902
39,Holy Family Institute Inc.,250984606,2021,16852532.0,6351327.0,0.0,23440748,317489.0,1063906.0,0.0,20913718,17575191,6029267
40,Holy Family Institute Inc.,250984606,2020,13373778.0,6756107.0,0.0,20387697,303639.0,1021135.0,0.0,19765580,14203695,5184801
41,Holy Family Institute Inc.,250984606,2019,11210120.0,5948631.0,0.0,17232461,313149.0,971770.0,0.0,17504550,10003397,1606620
42,Travelers Aid Society Of Pittsburgh,250965581,2021,3667185.0,105029.0,1463.0,3807423,177538.0,54108.0,0.0,3653314,7311165,634640
43,Travelers Aid Society Of Pittsburgh,250965581,2020,4687029.0,397512.0,137852.0,5297671,175590.0,80720.0,0.0,5401725,6072677,668701
44,Travelers Aid Society Of Pittsburgh,250965581,2019,6618965.0,355843.0,204447.0,7247721,166087.0,79795.0,0.0,6720291,5841489,412455
45,Early Learning Institute The,251151974,2021,147909.0,1735234.0,42898.0,1926041,79306.0,117333.0,0.0,2271532,7711183,1146250
46,Early Learning Institute The,251151974,2020,477775.0,2560891.0,137615.0,3148979,113653.0,175764.0,0.0,3314440,6549533,561021
47,Early Learning Institute The,251151974,2019,42103.0,2888907.0,133544.0,3232121,110042.0,174875.0,0.0,3302107,6597221,399459
48,Auberle,251712316,2021,1936185.0,13458992.0,0.0,15397907,398232.0,0.0,0.0,14351822,5710506,1568281
49,Auberle,251712316,2020,1563460.0,12807410.0,0.0,14370870,369423.0,426296.0,0.0,13937924,5250195,2154055
50,Auberle,251712316,2019,435788.0,13115774.0,0.0,13551562,359799.0,443018.0,0.0,13739729,3805829,1142635
51,Center For Family Excellence,251722184,2021,299.0,995662.0,80.0,997856,94521.0,58829.0,0.0,1342733,218173,328175
52,Center For Family Excellence,251722184,2019,0.0,1107340.0,42.0,1107382,127488.0,42447.0,0.0,1129239,436249,48954
53,Second Chance Inc. A,251729710,2021,40348127.0,0.0,61.0,40388974,420707.0,1007145.0,0.0,40391760,8840755,4657801
54,Second Chance Inc. A,251729710,2020,40205388.0,0.0,354.0,40267123,1310014.0,943988.0,0.0,40127614,10129152,5943412
55,Second Chance Inc. A,251729710,2019,40986751.0,0.0,2045.0,40988796,1236007.0,930730.0,0.0,41023621,8725536,4679305
56,Pittsburgh Action Against Rape,251253675,2021,3443608.0,136883.0,12933.0,3580544,140010.0,159544.0,0.0,3559831,3698681,736859
57,Pittsburgh Action Against Rape,251253675,2020,3669023.0,135645.0,17982.0,3855006,127277.0,168782.0,0.0,3808121,2927368,138087
58,Pittsburgh Action Against Rape,251253675,2019,3247108.0,140950.0,31866.0,3410629,121035.0,159582.0,0.0,3479379,2972229,239407
59,Mhy Family Services,251793268,2021,1566228.0,7595705.0,0.0,9729578,230917.0,399529.0,0.0,9147388,5594968,1750463
60,Mhy Family Services,251793268,2020,1280277.0,7206665.0,985.0,9153087,231499.0,386956.0,0.0,8897960,6473903,3211588
61,Mhy Family Services,251793268,2019,1598011.0,5969039.0,0.0,7570198,238779.0,324233.0,0.0,7701199,4924517,1917329
62,Harborcreek Youth Services,250993380,2021,750999.0,10189688.0,41291.0,11715940,334780.0,446519.0,0.0,10816105,9728431,1408833
63,Harborcreek Youth Services,250993380,2020,1737491.0,10264875.0,40829.0,12097485,451288.0,448972.0,0.0,10962398,9293195,2059719
64,Harborcreek Youth Services,250993380,2019,266203.0,9990873.0,43997.0,10378549,334007.0,442295.0,0.0,10645994,7792313,1754863
65,Jewish Association On Aging,251720606,2021,6902558.0,10110136.0,70034.0,21971210,793430.0,530736.0,66125.0,14238130,26438100,4572131
66,Jewish Association On Aging,251720606,2020,2234086.0,12050303.0,161987.0,14618875,804036.0,572575.0,0.0,12951237,22691081,8261586
67,Jewish Association On Aging,251720606,2019,2067643.0,14579837.0,284922.0,17170271,795840.0,634691.0,0.0,14268185,20236767,4478985
68,Neighborhood Legal Services Association,251157129,2021,7728383.0,29250.0,3206.0,7790377,396692.0,325132.0,0.0,7384051,4192632,1796129
69,Neighborhood Legal Services Association,251157129,2020,5792135.0,26183.0,4414.0,5825515,389629.0,289805.0,0.0,6238735,3726493,1736316
70,Neighborhood Legal Services Association,251157129,2019,5453424.0,39615.0,3723.0,5501587,387021.0,271710.0,0.0,5444278,2446987,43590
71,Sisters Place Inc.,251728330,2021,1536425.0,31944.0,1338.0,1551860,103877.0,36600.0,0.0,1673787,1243938,78328
72,Sisters Place Inc.,251728330,2020,1399837.0,33421.0,13390.0,1489175,94965.0,45246.0,0.0,1494213,1817300,413215
73,Sisters Place Inc.,251728330,2019,1210526.0,21496.0,17739.0,1256062,84854.0,45486.0,0.0,1287447,1851696,317083
74,Alle-kiski Area Hope Center Inc.,251365272,2021,3090864.0,0.0,194.0,3122432,176984.0,79621.0,0.0,2913709,1837035,195016
75,Alle-kiski Area Hope Center Inc.,251365272,2020,2340170.0,0.0,189.0,2340359,169843.0,68716.0,0.0,2402415,1579319,195799
76,Alle-kiski Area Hope Center Inc.,251365272,2019,1560881.0,0.0,195.0,1562230,173701.0,61969.0,0.0,1597528,1518636,93975
77,Outside In School Of Experiential Education Inc.,251644068,2021,1400748.0,7235998.0,89722.0,8726468,413880.0,319825.0,0.0,7886674,13800146,2451972
78,Outside In School Of Experiential Education Inc.,251644068,2020,256384.0,8680208.0,86611.0,9023203,288471.0,323764.0,0.0,8512559,13502459,3333949
79,Outside In School Of Experiential Education Inc.,251644068,2019,287510.0,7629357.0,96895.0,8013762,118700.0,286065.0,0.0,7340938,11949687,2289089
80,Casa Of Allegheny County,251735360,2021,989718.0,0.0,65.0,1044232,104156.0,26386.0,0.0,635017,708164,18328
81,Casa Of Allegheny County,251735360,2020,759440.0,0.0,3.0,791636,95107.0,32294.0,0.0,644233,407781,127160
82,Casa Of Allegheny County,251735360,2019,523169.0,0.0,48.0,597488,92232.0,30335.0,0.0,621310,171303,38085
83,Great Lakes Behavioral Research,251320550,2021,0.0,18294672.0,3523.0,18298195,904135.0,974672.0,0.0,17331688,9360108,5425180
84,Great Lakes Behavioral Research,251320550,2020,0.0,18478896.0,27724.0,18506620,941654.0,982494.0,0.0,18013458,8353797,5385377
85,Great Lakes Behavioral Research,251320550,2019,0.0,16887395.0,9355.0,16896750,824673.0,968743.0,0.0,16726883,4488499,2013241
86,Jewish Residential Services(jrs),251612868,2021,1409795.0,508159.0,28668.0,1979411,116585.0,57891.0,0.0,1339233,6509831,44950
87,Jewish Residential Services(jrs),251612868,2020,885207.0,613952.0,37255.0,1536414,114461.0,56792.0,0.0,1332963,5884904,313414
88,Jewish Residential Services(jrs),251612868,2019,826746.0,645854.0,43430.0,1516030,30720.0,52226.0,0.0,1282328,5955230,563089
89,Valley Care Association,251349943,2021,202922.0,157339.0,0.0,371607,0.0,0.0,0.0,389651,401819,46705
90,Valley Care Association,251349943,2020,207091.0,147145.0,0.0,354973,0.0,0.0,0.0,373552,367729,35553
91,Valley Care Association,251349943,2019,227958.0,415146.0,80.0,694974,0.0,1344.0,0.0,877367,429292,78537
92,Renewal Inc.,251312968,2021,2049710.0,12491147.0,0.0,14619716,455855.0,473947.0,0.0,13823428,61320091,42627139
93,Renewal Inc.,251312968,2020,0.0,12168821.0,0.0,12165771,455838.0,452903.0,0.0,13118873,57779091,39882427
94,Renewal Inc.,251312968,2019,0.0,12151292.0,0.0,12147294,427201.0,386612.0,67709.0,11631726,54504295,35654529
95,Resources For Human Development,231727133,2021,110517519.0,162391591.0,600662.0,273648038,2350641.0,12104248.0,0.0,272844131,100430605,74971759
96,Resources For Human Development,231727133,2020,2276521.0,271565229.0,174497.0,274023560,2391974.0,13530788.0,0.0,274393286,79164574,56695272
97,Resources For Human Development,231727133,2019,2864224.0,267073384.0,375691.0,270232968,2475823.0,12937095.0,0.0,266969552,69917270,47027223
98,Council Of Three Rivers American Indian Center Inc.,237176642,2021,19473415.0,4520.0,0.0,19524702,666367.0,594684.0,0.0,19472673,2198563,959931
99,Council Of Three Rivers American Indian Center Inc.,237176642,2020,21787718.0,28182.0,0.0,21908039,602738.0,439834.0,0.0,21817030,2321624,1135021
100,Council Of Three Rivers American Indian Center Inc.,237176642,2019,15594877.0,47587.0,0.0,15642464,503254.0,389131.0,0.0,15634466,1968072,872478
101,Catholic Charities Of The Diocese Of Pittsburgh Inc.,251326213,2021,10077961.0,261554.0,178688.0,11157440,0.0,343283.0,0.0,11415860,17139596,1616975
102,Catholic Charities Of The Diocese Of Pittsburgh Inc.,251326213,2020,9158411.0,276860.0,148570.0,10296995,0.0,325882.0,0.0,9383502,16543363,1578902
103,Catholic Charities Of The Diocese Of Pittsburgh Inc.,251326213,2019,7871077.0,365840.0,197254.0,8857232,0.0,400327.0,0.0,9349633,14914560,834347
104,Kidspeace National Centers Inc.,232654908,2021,5839854.0,52998693.0,255.0,58838802,282232.0,2142006.0,0.0,61994820,9979028,22466691
105,Kidspeace National Centers Inc.,232654908,2020,0.0,56912313.0,385.0,56912698,258637.0,2142929.0,0.0,60875783,12557527,21889172
106,Kidspeace National Centers Inc.,232654908,2019,0.0,56310884.0,0.0,56311234,247505.0,2330580.0,0.0,59691963,11749353,18605516
107,Adelphoi Village,251441744,2021,721055.0,42076765.0,8583.0,43421231,188171.0,1561838.0,0.0,40279007,21643256,2482993
108,Adelphoi Village,251441744,2020,690948.0,41897961.0,34796.0,43249948,169668.0,1608752.0,0.0,40745194,19689723,2780277
109,Adelphoi Village,251441744,2019,726426.0,39955371.0,267629.0,41449145,128400.0,1462289.0,0.0,39283527,16362755,1942411
110,Women's Center And Shelter Of Greater Pittsburgh,251264376,2021,8324209.0,75926.0,160348.0,9153277,283612.0,290051.0,0.0,7466678,33391841,12191116
111,Women's Center And Shelter Of Greater Pittsburgh,251264376,2020,7203960.0,75484.0,197806.0,7800378,301352.0,276017.0,0.0,7102263,30825850,12813872
112,Women's Center And Shelter Of Greater Pittsburgh,251264376,2019,5370306.0,76859.0,181540.0,6915681,267557.0,232341.0,0.0,6137708,29630256,12241207
113,Young Men's Christian Association Of Pittsburgh,250969497,2021,10436930.0,10396366.0,378382.0,22183003,380703.0,991891.0,0.0,23462862,75839539,26320957
114,Young Men's Christian Association Of Pittsburgh,250969497,2020,8517086.0,28271887.0,428490.0,37683508,478009.0,1516507.0,0.0,36164965,74067271,28095784
115,Young Men's Christian Association Of Pittsburgh,250969497,2019,7244481.0,29835689.0,457748.0,37889841,422251.0,1536248.0,0.0,38903452,78780811,31091124
116,Manchester Youth Development Center,237447953,2021,715927.0,33475.0,40038.0,986446,129231.0,42703.0,0.0,836937,3044781,41890
117,Manchester Youth Development Center,237447953,2020,876437.0,106123.0,42259.0,1026350,126509.0,61976.0,0.0,1005032,2647713,120599
118,Manchester Youth Development Center,237447953,2019,815011.0,686007.0,30569.0,2256030,127616.0,82638.0,0.0,1460285,2500868,54201
119,Plea,237007910,2021,231910.0,1952699.0,24946.0,2209555,141516.0,105510.0,0.0,1973504,2209555,0
120,Plea,237007910,2020,127315.0,2023608.0,42150.0,2193073,0.0,108737.0,0.0,1874294,1969900,1342
121,Plea,237007910,2019,175846.0,2163731.0,49592.0,2389169,0.0,112400.0,0.0,2219818,1688033,164653
122,Transitional Services Inc.,251198675,2021,8518337.0,323722.0,103.0,8842162,217659.0,0.0,0.0,7295663,10014611,3797503
123,Transitional Services Inc.,251198675,2020,7333342.0,344393.0,1550.0,7679285,159832.0,0.0,0.0,7119738,10418580,5747971
124,Transitional Services Inc.,251198675,2019,7444666.0,253981.0,1881.0,7700528,182707.0,0.0,0.0,7092452,10060998,5949936
125,Urban League Of Greater Pittsburgh Inc.,250965592,2021,6690723.0,0.0,7693.0,8190537,409431.0,255791.0,0.0,5977663,4722983,368224
126,Urban League Of Greater Pittsburgh Inc.,250965592,2020,5500005.0,0.0,13841.0,5770644,328416.0,260469.0,28000.0,6198050,3331508,1238989
127,Urban League Of Greater Pittsburgh Inc.,250965592,2019,6644005.0,0.0,41239.0,6954180,322073.0,301100.0,107625.0,6785069,3466383,949612
128,Every Child Inc.,232914614,2021,271792.0,4302625.0,0.0,4588051,112750.0,113780.0,0.0,3937955,1979487,248919
129,Every Child Inc.,232914614,2020,193178.0,4429441.0,0.0,5265190,119950.0,195431.0,0.0,4340813,1336117,255645
130,Every Child Inc.,232914614,2019,75303.0,3828127.0,0.0,3917554,112500.0,187373.0,0.0,3909368,463704,307609
131,George Junior Republic In Pennsylvania,250753320,2021,381682.0,19696427.0,0.0,21034446,149143.0,1245155.0,0.0,31821012,5724677,4374334
132,George Junior Republic In Pennsylvania,250753320,2020,250923.0,30024409.0,0.0,30278869,167259.0,1479116.0,0.0,36122665,9022277,9229431
133,George Junior Republic In Pennsylvania,250753320,2019,253595.0,31691060.0,0.0,31966289,249724.0,1517802.0,0.0,37570234,7270203,6850393
134,Bair Foundation Of Pennsylvania The,251840964,2021,16372129.0,11256.0,276.0,16491374,1500.0,438791.0,0.0,15946447,2408322,1074586
135,Bair Foundation Of Pennsylvania The,251840964,2020,15104776.0,42984.0,1588.0,15157048,0.0,406868.0,0.0,14864982,2453462,1664653
136,Bair Foundation Of Pennsylvania The,251840964,2019,13259180.0,24681.0,6084.0,13292692,0.0,208399.0,0.0,12795948,2294728,1797984
137,Summit School Inc.,251782296,2021,2449205.0,11970322.0,13195.0,14501172,243059.0,-1222849.0,0.0,12198330,9642175,2649273
138,Summit School Inc.,251782296,2020,460903.0,17173025.0,93815.0,17789163,242140.0,764712.0,0.0,18601046,12154037,7463977
139,Summit School Inc.,251782296,2019,453721.0,19585949.0,82269.0,20158971,257810.0,721460.0,0.0,19927780,10191426,4689483
140,Providence Connections,251730893,2021,773870.0,667645.0,35450.0,1548467,94576.0,62769.0,0.0,1685607,4836172,475524
141,Providence Connections,251730893,2020,806445.0,832104.0,49152.0,1717109,74000.0,75645.0,0.0,1898223,4616600,324548
142,Providence Connections,251730893,2019,1635060.0,951591.0,25550.0,2719647,80057.0,82560.0,0.0,2034996,4530228,69690
143,Community Human Services Corporation,251219610,2021,13438179.0,267837.0,35.0,13898808,325800.0,452446.0,0.0,14038230,9790880,1957596
144,Community Human Services Corporation,251219610,2020,10273364.0,310894.0,903.0,10590298,313599.0,309295.0,0.0,10521048,9390608,1963048
145,Community Human Services Corporation,251219610,2019,8118165.0,377193.0,6190.0,8600431,377396.0,309238.0,0.0,8897893,7771198,475290
146,Greater Valley Community Services Inc.,271078786,2021,1447173.0,517335.0,0.0,1970508,86576.0,81793.0,0.0,1582933,963916,331192
147,Greater Valley Community Services Inc.,271078786,2020,1010682.0,263416.0,0.0,1275455,75301.0,67273.0,0.0,1220531,737071,491922
148,Greater Valley Community Services Inc.,271078786,2019,1045996.0,168169.0,0.0,1215215,85000.0,68551.0,0.0,1328385,413845,223620
149,Kingsley Association The,250965412,2021,453538.0,1261132.0,291172.0,2003107,88940.0,76284.0,0.0,1828699,9855607,1103464
150,Kingsley Association The,250965412,2020,161772.0,1165206.0,234667.0,1540256,264901.0,61880.0,0.0,1865142,8385085,1041576
151,Kingsley Association The,250965412,2019,173600.0,1255684.0,228914.0,1676347,108370.0,72665.0,0.0,1905042,8572952,968167
152,Lutheran Service Society Of Western Pennsylvania The,250965419,2021,302273.0,1168817.0,94.0,1539180,0.0,51819.0,0.0,1413921,3024089,1471553
153,Lutheran Service Society Of Western Pennsylvania The,250965419,2020,374984.0,1348155.0,232.0,1772226,0.0,54109.0,0.0,1563528,2963290,1536013
154,Lutheran Service Society Of Western Pennsylvania The,250965419,2019,220187.0,1522647.0,247.0,1630520,0.0,60960.0,0.0,1658406,2918049,1699470
155,Maple Unified Student Academy Inc.,251368765,2021,470177.0,19657.0,0.0,489834,0.0,50132.0,0.0,377065,228443,0
156,Maple Unified Student Academy Inc.,251368765,2020,287431.0,107438.0,0.0,394869,0.0,19376.0,0.0,398558,187172,71498
157,Maple Unified Student Academy Inc.,251368765,2019,268428.0,124296.0,0.0,392724,0.0,24008.0,0.0,468149,127508,8998
158,Nami Keystone Pennsylvania,251477291,2021,1354012.0,402368.0,756.0,1772009,158740.0,80696.0,0.0,1792819,1080552,103319
159,Nami Keystone Pennsylvania,251477291,2020,1364466.0,405656.0,3504.0,1777653,158374.0,79451.0,0.0,1823696,1108349,110306
160,Nami Keystone Pennsylvania,251477291,2019,2143533.0,0.0,2589.0,2147822,141122.0,74113.0,0.0,1902232,1157725,113639
161,Citizen Care Inc.,251266401,2021,1804068.0,29842920.0,0.0,31646988,196523.0,1254582.0,0.0,31749203,15121931,5761481
162,Citizen Care Inc.,251266401,2020,1350724.0,32233695.0,19378.0,33603797,195098.0,1173055.0,0.0,31984304,12376697,4245576
163,Citizen Care Inc.,251266401,2019,52828.0,33993273.0,14154.0,34060255,172520.0,1111606.0,0.0,29981404,11650759,5139131
164,Community Specialists Corporation,251413040,2021,1738431.0,10019666.0,6748.0,11855053,259575.0,-1089213.0,0.0,9473003,13196167,3621248
165,Community Specialists Corporation,251413040,2020,155067.0,12376400.0,38039.0,12656474,260630.0,521068.0,0.0,12414689,14377470,7184601
166,Community Specialists Corporation,251413040,2019,171143.0,12784278.0,3446.0,12979687,249455.0,507856.0,0.0,12512500,9041984,2820288
167,Devereux Foundation,231390618,2021,17986681.0,498177411.0,1091144.0,522143583,5668175.0,23148542.0,0.0,543085103,307889000,278486000
168,Devereux Foundation,231390618,2020,8983975.0,508533028.0,681414.0,519709316,4923128.0,22500851.0,0.0,512659877,279008000,220321000
169,Devereux Foundation,231390618,2019,14630245.0,481177555.0,481549.0,497504170,5647129.0,20312558.0,0.0,475839709,210877000,158728000
170,Eastern Area Adult Services Inc.,251433314,2021,2048524.0,125415.0,303.0,2178208,91932.0,140138.0,0.0,1809871,895660,107056
171,Eastern Area Adult Services Inc.,251433314,2020,1701448.0,125169.0,3021.0,1854292,91784.0,160139.0,0.0,1884736,782873,362606
172,Eastern Area Adult Services Inc.,251433314,2019,1711479.0,150792.0,12.0,1864343,91932.0,200990.0,0.0,1919630,535686,84975
173,Outreach Teen And Family Services Inc.,251402188,2021,188918.0,210354.0,12058.0,477321,0.0,17634.0,0.0,432719,196691,88578
174,Outreach Teen And Family Services Inc.,251402188,2020,141713.0,221536.0,536.0,380069,0.0,21409.0,0.0,454476,154788,91277
175,Outreach Teen And Family Services Inc.,251402188,2019,83478.0,302852.0,3039.0,425741,0.0,24341.0,0.0,504265,167513,29595
176,Greater Pittsburgh Community Food Bank,251420599,2021,83582245.0,2254633.0,267223.0,86169867,957290.0,638355.0,701536.0,71952528,60747557,10580017
